[15:54:36.202] [INFO   ] thread main starting.
[15:54:36.208] [SEVERE ] cannot read configuration file config.properties trying from resources.
[15:54:36.210] [SEVERE ] configuration file was loaded from resources directory.
[15:54:37.533] [INFO   ] thread dealer starting.
[15:54:37.533] [INFO   ] thread player starting.
[15:54:37.534] [INFO   ] thread player starting.
[15:54:37.533] [INFO   ] thread dealer starting.
[15:54:37.533] [INFO   ] thread player starting.
[15:54:37.533] [INFO   ] thread player starting.
[15:54:37.535] [INFO   ] thread computer-2 starting.
[15:54:37.535] [INFO   ] thread computer-3 starting.
[15:54:37.535] [INFO   ] thread computer-0 starting.
[15:54:37.536] [INFO   ] thread computer-1 starting.
[15:54:37.744] [SEVERE ] placing card 10 in slot 0
[15:54:37.744] [SEVERE ] player 3 placing token on slot 0
[15:54:37.749] [SEVERE ] player 2 placing token on slot 0
[15:54:37.751] [SEVERE ] player 1 placing token on slot 0
[15:54:37.754] [SEVERE ] removing player 1 token from slot 0
[15:54:37.757] [SEVERE ] player 1 placing token on slot 0
[15:54:37.763] [SEVERE ] removing player 2 token from slot 0
[15:54:37.770] [SEVERE ] player 4 placing token on slot 0
[15:54:37.777] [SEVERE ] player 2 placing token on slot 0
[15:54:37.789] [SEVERE ] removing player 3 token from slot 0
[15:54:37.792] [SEVERE ] removing player 2 token from slot 0
[15:54:37.793] [SEVERE ] removing player 1 token from slot 0
[15:54:37.798] [SEVERE ] player 3 placing token on slot 0
[15:54:37.803] [SEVERE ] removing player 4 token from slot 0
[15:54:37.813] [SEVERE ] player 1 placing token on slot 0
[15:54:37.815] [SEVERE ] player 2 placing token on slot 0
[15:54:37.816] [SEVERE ] player 4 placing token on slot 0
[15:54:37.818] [SEVERE ] removing player 1 token from slot 0
[15:54:37.819] [SEVERE ] removing player 2 token from slot 0
[15:54:37.824] [SEVERE ] removing player 4 token from slot 0
[15:54:37.828] [SEVERE ] player 4 placing token on slot 0
[15:54:37.832] [SEVERE ] player 1 placing token on slot 0
[15:54:37.834] [SEVERE ] removing player 3 token from slot 0
[15:54:37.834] [SEVERE ] removing player 4 token from slot 0
[15:54:37.838] [SEVERE ] player 2 placing token on slot 0
[15:54:37.841] [SEVERE ] player 4 placing token on slot 0
[15:54:37.847] [SEVERE ] removing player 4 token from slot 0
[15:54:37.847] [SEVERE ] player 3 placing token on slot 0
[15:54:37.852] [SEVERE ] removing player 1 token from slot 0
[15:54:37.856] [SEVERE ] player 1 placing token on slot 0
[15:54:37.857] [SEVERE ] player 4 placing token on slot 0
[15:54:37.858] [SEVERE ] removing player 2 token from slot 0
[15:54:37.858] [SEVERE ] removing player 4 token from slot 0
[15:54:37.863] [SEVERE ] player 4 placing token on slot 0
[15:54:37.865] [SEVERE ] removing player 3 token from slot 0
[15:54:37.869] [SEVERE ] player 3 placing token on slot 0
[15:54:37.874] [SEVERE ] player 2 placing token on slot 0
[15:54:37.884] [SEVERE ] removing player 3 token from slot 0
[15:54:37.896] [SEVERE ] removing player 1 token from slot 0
[15:54:37.899] [SEVERE ] removing player 2 token from slot 0
[15:54:37.903] [SEVERE ] player 2 placing token on slot 0
[15:54:37.907] [SEVERE ] removing player 4 token from slot 0
[15:54:37.908] [SEVERE ] player 3 placing token on slot 0
[15:54:37.909] [SEVERE ] player 4 placing token on slot 0
[15:54:37.916] [SEVERE ] player 1 placing token on slot 0
[15:54:37.919] [SEVERE ] removing player 1 token from slot 0
[15:54:37.922] [SEVERE ] removing player 2 token from slot 0
[15:54:37.923] [SEVERE ] removing player 4 token from slot 0
[15:54:37.924] [SEVERE ] player 1 placing token on slot 0
[15:54:37.927] [SEVERE ] player 4 placing token on slot 0
[15:54:37.930] [SEVERE ] removing player 1 token from slot 0
[15:54:37.946] [SEVERE ] removing player 3 token from slot 0
[15:54:37.948] [SEVERE ] placing card 33 in slot 1
[15:54:37.950] [SEVERE ] player 3 placing token on slot 0
[15:54:37.951] [SEVERE ] removing player 4 token from slot 0
[15:54:37.953] [SEVERE ] player 4 placing token on slot 0
[15:54:37.955] [SEVERE ] player 4 placing token on slot 1
[15:54:37.959] [SEVERE ] removing player 3 token from slot 0
[15:54:37.960] [SEVERE ] removing player 4 token from slot 0
[15:54:37.961] [SEVERE ] player 1 placing token on slot 0
[15:54:37.963] [SEVERE ] player 3 placing token on slot 1
[15:54:37.965] [SEVERE ] player 4 placing token on slot 0
[15:54:37.967] [SEVERE ] player 2 placing token on slot 0
[15:54:37.968] [SEVERE ] removing player 1 token from slot 0
[15:54:37.970] [SEVERE ] player 1 placing token on slot 1
[15:54:37.972] [SEVERE ] player 3 placing token on slot 0
[15:54:37.973] [SEVERE ] removing player 4 token from slot 0
[15:54:37.975] [SEVERE ] removing player 3 token from slot 0
[15:54:37.976] [SEVERE ] removing player 1 token from slot 1
[15:54:37.976] [SEVERE ] removing player 4 token from slot 1
[15:54:37.981] [SEVERE ] player 4 placing token on slot 1
